Run;Alias;Assay Type;BioProject;BioSample;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Description;ENA_checklist;ENA-FIRST-PUBLIC (run);ENA-LAST-UPDATE (run);Experiment;INSDC_center_alias;INSDC_center_name;INSDC_first_public;INSDC_last_update;INSDC_status;Instrument;Lane;Library Name;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;pooled;ReleaseDate;sample_code;Sample Name;sample_name;SRA_accession;SRA Study;template_concentration;title;AvgSpotLen;Bases;Bytes
ERR567374;kkennedy_illumina-bias_0;AMPLICON;PRJEB6592;SAMEA2661455;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526363;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661455;ERS510669;ERS510669;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;15385296;7794687
ERR567375;kkennedy_illumina-bias_1;AMPLICON;PRJEB6592;SAMEA2661456;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526364;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661456;ERS510670;ERS510670;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;21034804;10655076
ERR567376;kkennedy_illumina-bias_2;AMPLICON;PRJEB6592;SAMEA2661457;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526365;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661457;ERS510671;ERS510671;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;20827980;10834980
ERR567377;kkennedy_illumina-bias_3;AMPLICON;PRJEB6592;SAMEA2661458;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526366;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661458;ERS510672;ERS510672;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;12504820;6335498
ERR567378;kkennedy_illumina-bias_4;AMPLICON;PRJEB6592;SAMEA2661459;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526367;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661459;ERS510673;ERS510673;ERP006140;high;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;22538294;11428468
ERR567379;kkennedy_illumina-bias_5;AMPLICON;PRJEB6592;SAMEA2661460;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526368;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661460;ERS510674;ERS510674;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;8347758;4292706
ERR567380;kkennedy_illumina-bias_6;AMPLICON;PRJEB6592;SAMEA2661461;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526369;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661461;ERS510675;ERS510675;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;118974;96226
ERR567381;kkennedy_illumina-bias_7;AMPLICON;PRJEB6592;SAMEA2661462;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526370;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661462;ERS510676;ERS510676;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;8258904;4258714
ERR567382;kkennedy_illumina-bias_8;AMPLICON;PRJEB6592;SAMEA2661463;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526371;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661463;ERS510677;ERS510677;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;18787350;9589171
ERR567383;kkennedy_illumina-bias_9;AMPLICON;PRJEB6592;SAMEA2661464;UNIVERSITY OF WATERLOO;public;fastq,sra;ena,gs,ncbi,s3;ena,gs.US,ncbi.public,s3.us-east-1;16S rRNA V3-V4 gut metagenome;ERC000011;24/07/2014;16/11/2018;ERX526372;UNIVERSITY OF WATERLOO;UNIVERSITY OF WATERLOO;2014-07-24T10:51:05Z;2014-07-21T18:46:27Z;public;Illumina MiSeq;1;unspecified;PAIRED;PCR;METAGENOMIC;gut metagenome;ILLUMINA;pooled;2014-07-24T00:00:00Z;S1;SAMEA2661464;ERS510678;ERS510678;ERP006140;low;16S rRNA V3-V4 regions for evaluating bias in Illumina-based bacterial gene profiles;502;7819654;4004229
